date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_deaths,class
2020-02-02,Finland,all,1,,,,
2020-02-02,France,all,6,,,,
2020-02-02,Germany,all,8,,,,
2020-02-02,India,all,2,,,,
2020-02-02,Italy,all,2,,,,
2020-02-02,Japan,all,20,,,,
2020-02-02,Malaysia,all,8,,,,
2020-02-02,Nepal,all,1,,,,
2020-02-02,Philippines,all,2,,,,
2020-02-02,Russia,all,2,,,,
2020-02-02,Singapore,all,18,,,,
2020-02-02,South Korea,all,15,,,,
2020-02-02,Spain,all,1,,,,
2020-02-02,Sri Lanka,all,1,,,,
2020-02-02,Sweden,all,1,,,,
2020-02-02,Thailand,all,19,,,,
2020-02-02,UK,all,2,,,,
2020-02-02,United Arab Emirates,all,5,,,,
2020-02-02,USA,all,8,,,,
2020-02-02,Vietnam,all,7,,,,
2020-02-03,Australia,all,12,,,,
2020-02-03,Cambodia,all,1,,,,
2020-02-03,Canada,all,4,,,,
2020-02-03,Finland,all,1,,,,
2020-02-03,France,all,6,,,,
2020-02-03,Germany,all,10,,,,
2020-02-03,India,all,3,,,,
2020-02-03,Italy,all,2,,,,
2020-02-03,Japan,all,20,,,,
2020-02-03,Malaysia,all,8,,,,
2020-02-03,Nepal,all,1,,,,
2020-02-03,Philippines,all,2,,,,
2020-02-03,Russia,all,2,,,,
2020-02-03,Singapore,all,18,,,,
2020-02-03,South Korea,all,15,,,,
2020-02-03,Spain,all,1,,,,
2020-02-03,Sri Lanka,all,1,,,,
2020-02-03,Sweden,all,1,,,,
2020-02-03,Thailand,all,19,,,,
2020-02-03,UK,all,2,,,,
2020-02-03,United Arab Emirates,all,5,,,,
2020-02-03,USA,all,11,,,,
2020-02-03,Vietnam,all,8,,,,
2020-02-04,Australia,all,12,,,,
2020-02-04,Cambodia,all,1,,,,
2020-02-04,Canada,all,4,,,,
2020-02-04,Finland,all,1,,,,
2020-02-04,France,all,6,,,,
2020-02-04,Germany,all,12,,,,
2020-02-04,India,all,3,,,,
2020-02-04,Italy,all,2,,,,
2020-02-04,Japan,all,20,,,,
2020-02-04,Malaysia,all,10,,,,
2020-02-04,Nepal,all,1,,,,
2020-02-04,Philippines,all,2,,,,
2020-02-04,Russia,all,2,,,,
