date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,population_E4,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
1/20/2020,China,all,278,,,,,142823,,,,
1/20/2020,China,Beijing,5,,,,,2154,,,,
1/20/2020,China,Guangdong,14,,,,,11346,,,,
1/20/2020,China,Hubei,258,,,,,5917,,,,
1/20/2020,China,Shanghai,1,,,,,2424,,,,
1/21/2020,China,all,310,,,,,142823,,,,
1/21/2020,China,Beijing,5,,,,,2154,,,,
1/21/2020,China,Chongqing,1,,,,,3102,,,,
1/21/2020,China,Guangdong,17,,,,,11346,,,,
1/21/2020,China,Henan,1,,,,,9605,,,,
1/21/2020,China,Hubei,270,,,,,5917,,,,
1/21/2020,China,Hunan,1,,,,,6899,,,,
1/21/2020,China,Jiangxi,2,,,,,4648,,,,
1/21/2020,China,Shandong,1,,,,,10047,,,,
1/21/2020,China,Shanghai,2,,,,,2424,,,,
1/21/2020,China,Sichuan,1,,,,,8341,,,,
1/21/2020,China,Taiwan,1,,,,,2359,,,,
1/21/2020,China,Tianjin,2,,,,,1560,,,,
1/21/2020,China,Yunnan,1,,,,,4830,,,,
1/21/2020,China,Zhejiang,5,,,,,5737,,,,
1/23/2020,China,all,571,,,,,142823,,,,
1/23/2020,China,Beijing,10,,,,,2154,,,,
1/23/2020,China,Chongqing,5,,,,,3102,,,,
1/23/2020,China,Guangdong,26,,,,,11346,,,,
1/23/2020,China,Henan,1,,,,,9605,,,,
1/23/2020,China,Hong Kong SAR,1,,,,,745,,,,
1/23/2020,China,Hubei,375,,,,,5917,,,,
1/23/2020,China,Hunan,1,,,,,6899,,,,
1/23/2020,China,Jiangxi,2,,,,,4648,,,,
1/23/2020,China,Macao SAR,1,,,,,66,,,,
1/23/2020,China,Shandong,1,,,,,10047,,,,
1/23/2020,China,Shanghai,9,,,,,2424,,,,
1/23/2020,China,Sichuan,2,,,,,8341,,,,
1/23/2020,China,Taiwan,1,,,,,2359,,,,
1/23/2020,China,Tianjin,2,,,,,1560,,,,
1/23/2020,China,Yunnan,1,,,,,4830,,,,
1/23/2020,China,Zhejiang,5,,,,,5737,,,,
1/24/2020,China,all,830,,,,,142823,,,,
1/24/2020,China,Beijing,10,,,,,2154,,,,
1/24/2020,China,Chongqing,5,,,,,3102,,,,
1/24/2020,China,Guangdong,32,,,,,11346,,,,
1/24/2020,China,Henan,1,,,,,9605,,,,
1/24/2020,China,Hong Kong SAR,2,,,,,745,,,,
1/24/2020,China,Hubei,375,,,,,5917,,,,
1/24/2020,China,Hunan,1,,,,,6899,,,,
1/24/2020,China,Jiangxi,2,,,,,4648,,,,
1/24/2020,China,Macao SAR,2,,,,,66,,,,
1/24/2020,China,Shandong,1,,,,,10047,,,,
1/24/2020,China,Shanghai,9,,,,,2424,,,,
1/24/2020,China,Sichuan,2,,,,,8341,,,,
1/24/2020,China,Taiwan,1,,,,,2359,,,,
1/24/2020,China,Tianjin,2,,,,,1560,,,,
1/24/2020,China,Yunnan,1,,,,,4830,,,,
1/24/2020,China,Zhejiang,5,,,,,5737,,,,
1/25/2020,China,all,1297,,,,,142823,,,,
1/26/2020,China,all,1985,,,,,142823,,,,
1/27/2020,China,all,2761,,,,,142823,,,,
1/28/2020,China,all,4537,,,,,142823,,,,
1/29/2020,China,all,5997,,,,,142823,,,,
1/30/2020,China,all,7736,,,,,142823,,,,
1/31/2020,China,all,9720,,,,,142823,,,,
2/1/2020,China,all,11821,,,,,142823,,,,
2/1/2020,China,Anhui,297,,,,,6324,,,,
2/1/2020,China,Beijing,156,,,,,2154,,,,
2/1/2020,China,Chongqing,238,,,,,3102,,,,
2/1/2020,China,Fujian,144,,,,,3941,,,,
2/1/2020,China,Gansu,35,,,,,2637,,,,
2/1/2020,China,Guangdong,520,,,,,11346,,,,
2/1/2020,China,Guangxi,100,,,,,4926,,,,
2/1/2020,China,Guizhou,29,,,,,3600,,,,
2/1/2020,China,Hainan,57,,,,,934,,,,
2/1/2020,China,Hebei,96,,,,,7556,,,,
