date,country,adm,population_E4,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-02-02,China,Sichuan,8341,236,,,,,,,,
2020-02-02,China,Taiwan,2359,10,,,,,,,,
2020-02-02,China,Tianjin,1560,40,,,,,,,,
2020-02-02,China,Xinjiang,2487,23,,,,,,,,
2020-02-02,China,Xizang,344,1,,,,,,,,
2020-02-02,China,Yunnan,4830,99,,,,,,,,
2020-02-02,China,Zhejiang,5737,661,,,,,,,,
2020-02-03,China,Anhui,6324,408,,,,,,,,
2020-02-03,China,Beijing,2154,212,,,,,,,,
2020-02-03,China,Chongqing,3102,300,,,,,,,,
2020-02-03,China,Fujian,3941,179,,,,,,,,
2020-02-03,China,Gansu,2637,51,,,,,,,,
2020-02-03,China,Guangdong,11346,683,,,,,,,,
2020-02-03,China,Guangxi,4926,127,,,,,,,,
2020-02-03,China,Guizhou,3600,46,,,,,,,,
2020-02-03,China,Hainan,934,70,,,,,,,,
2020-02-03,China,Hebei,7556,113,,,,,,,,
2020-02-03,China,Heilongjiang,3773,118,,,,,,,,
2020-02-03,China,Henan,9605,566,,,,,,,,
2020-02-03,China,Hong Kong SAR,745,15,,,,,,,,
2020-02-03,China,Hubei,5917,11177,,,,,,,,
2020-02-03,China,Hunan,6899,521,,,,,,,,
2020-02-03,China,Inner Mongolia,2534,33,,,,,,,,
2020-02-03,China,Jiangsu,8051,271,,,,,,,,
2020-02-03,China,Jiangxi,4648,391,,,,,,,,
2020-02-03,China,Jilin,2704,31,,,,,,,,
2020-02-03,China,Liaoning,4359,70,,,,,,,,
2020-02-03,China,Macao SAR,66,8,,,,,,,,
2020-02-03,China,Ningxia,688,31,,,,,,,,
2020-02-03,China,Qinghai,603,13,,,,,,,,
2020-02-03,China,Shaanxi,3864,128,,,,,,,,
2020-02-03,China,Shandong,10047,246,,,,,,,,
2020-02-03,China,Shanghai,2424,193,,,,,,,,
2020-02-03,China,Shanxi,3718,66,,,,,,,,
2020-02-03,China,Sichuan,8341,254,,,,,,,,
2020-02-03,China,Taiwan,2359,10,,,,,,,,
2020-02-03,China,Tianjin,1560,49,,,,,,,,
2020-02-03,China,Xinjiang,2487,24,,,,,,,,
2020-02-03,China,Xizang,344,1,,,,,,,,
2020-02-03,China,Yunnan,4830,109,,,,,,,,
2020-02-03,China,Zhejiang,5737,724,,,,,,,,
2020-02-04,China,Anhui,6324,480,,,,,,,,
2020-02-04,China,Beijing,2154,228,,,,,,,,
2020-02-04,China,Chongqing,3102,337,,,,,,,,
2020-02-04,China,Fujian,3941,194,,,,,,,,
2020-02-04,China,Gansu,2637,56,,,,,,,,
2020-02-04,China,Guangdong,11346,797,,,,,,,,
2020-02-04,China,Guangxi,4926,139,,,,,,,,
2020-02-04,China,Guizhou,3600,56,,,,,,,,
2020-02-04,China,Hainan,934,79,,,,,,,,
2020-02-04,China,Hebei,7556,126,,,,,,,,
2020-02-04,China,Heilongjiang,3773,155,,,,,,,,
2020-02-04,China,Henan,9605,675,,,,,,,,
2020-02-04,China,Hong Kong SAR,745,15,,,,,,,,
2020-02-04,China,Hubei,5917,13522,,,,,,,,
2020-02-04,China,Hunan,6899,593,,,,,,,,
2020-02-04,China,Inner Mongolia,2534,37,,,,,,,,
2020-02-04,China,Jiangsu,8051,308,,,,,,,,
2020-02-04,China,Jiangxi,4648,476,,,,,,,,
2020-02-04,China,Jilin,2704,42,,,,,,,,
2020-02-04,China,Liaoning,4359,74,,,,,,,,
2020-02-04,China,Macao SAR,66,8,,,,,,,,
2020-02-04,China,Ningxia,688,34,,,,,,,,
2020-02-04,China,Qinghai,603,15,,,,,,,,
2020-02-04,China,Shaanxi,3864,142,,,,,,,,
2020-02-04,China,Shandong,10047,270,,,,,,,,
2020-02-04,China,Shanghai,2424,208,,,,,,,,
2020-02-04,China,Shanxi,3718,74,,,,,,,,
2020-02-04,China,Sichuan,8341,282,,,,,,,,
2020-02-04,China,Taiwan,2359,10,,,,,,,,
2020-02-04,China,Tianjin,1560,63,,,,,,,,
2020-02-04,China,Xinjiang,2487,29,,,,,,,,
2020-02-04,China,Xizang,344,1,,,,,,,,
2020-02-04,China,Yunnan,4830,117,,,,,,,,
2020-02-04,China,Zhejiang,5737,829,,,,,,,,
2020-02-05,China,Anhui,6324,530,,,,,,,,
2020-02-05,China,Beijing,2154,253,,,,,,,,
2020-02-05,China,Chongqing,3102,366,,,,,,,,
2020-02-05,China,Fujian,3941,205,,,,,,,,
2020-02-05,China,Gansu,2637,57,,,,,,,,
2020-02-05,China,Guangdong,11346,870,,,,,,,,
2020-02-05,China,Guangxi,4926,150,,,,,,,,
2020-02-05,China,Guizhou,3600,64,,,,,,,,
2020-02-05,China,Hainan,934,89,,,,,,,,
2020-02-05,China,Hebei,7556,135,,,,,,,,
2020-02-05,China,Heilongjiang,3773,190,,,,,,,,
2020-02-05,China,Henan,9605,764,,,,,,,,
2020-02-05,China,Hong Kong SAR,745,18,,,,,,,,
2020-02-05,China,Hubei,5917,16678,,,,,,,,
2020-02-05,China,Hunan,6899,661,,,,,,,,
2020-02-05,China,Inner Mongolia,2534,42,,,,,,,,
2020-02-05,China,Jiangsu,8051,341,,,,,,,,
2020-02-05,China,Jiangxi,4648,548,,,,,,,,
2020-02-05,China,Jilin,2704,54,,,,,,,,
2020-02-05,China,Liaoning,4359,81,,,,,,,,
2020-02-05,China,Macao SAR,66,10,,,,,,,,
2020-02-05,China,Ningxia,688,34,,,,,,,,
2020-02-05,China,Qinghai,603,17,,,,,,,,
2020-02-05,China,Shaanxi,3864,165,,,,,,,,
2020-02-05,China,Shandong,10047,298,,,,,,,,
2020-02-05,China,Shanghai,2424,233,,,,,,,,
2020-02-05,China,Shanxi,3718,81,,,,,,,,
2020-02-05,China,Sichuan,8341,301,,,,,,,,
2020-02-05,China,Taiwan,2359,11,,,,,,,,
2020-02-05,China,Tianjin,1560,67,,,,,,,,
2020-02-05,China,Xinjiang,2487,32,,,,,,,,
2020-02-05,China,Yunnan,4830,122,,,,,,,,
2020-02-05,China,Zhejiang,5737,895,,,,,,,,
2020-02-06,China,Anhui,6324,591,,,,,,,,
2020-02-06,China,Beijing,2154,274,,,,,,,,
2020-02-06,China,Chongqing,3102,389,,,,,,,,
